date,region,subregion,cases,deaths
2020-03-13,South,ABR,5,0
2020-03-13,South,MOL,1,0
2020-03-13,South,CAM,41,1
2020-03-13,South,BAS,2,0
2020-03-13,South,PUG,25,0
2020-03-13,South,CAL,5,0
2020-03-13,Islands,SIC,15,0
2020-03-13,Islands,SAR,4,0
2020-03-14,North-West,VDA,14,0
2020-03-14,North-West,LIG,118,10
2020-03-14,North-West,PIE,33,13
2020-03-14,North-West,LOM,1865,76
2020-03-14,North-East,VEN,342,13
2020-03-14,North-East,TN,43,0
2020-03-14,North-East,BZ,48,1
2020-03-14,North-East,FVG,44,3
2020-03-14,North-East,EMR,381,40
2020-03-14,Centre,MAR,174,9
2020-03-14,Centre,TOS,160,1
2020-03-14,Centre,UMB,31,0
2020-03-14,Centre,LAZ,80,2
2020-03-14,South,ABR,23,0
2020-03-14,South,CAM,52,4
2020-03-14,South,PUG,37,3
2020-03-14,South,CAL,22,0
2020-03-14,Islands,SIC,26,0
2020-03-14,Islands,SAR,4,0
2020-03-15,North-West,VDA,15,0
2020-03-15,North-West,LIG,96,6
2020-03-15,North-West,PIE,238,22
2020-03-15,North-West,LOM,1587,252
2020-03-15,North-East,VEN,235,8
2020-03-15,North-East,TN,172,4
2020-03-15,North-East,BZ,31,2
2020-03-15,North-East,FVG,46,1
2020-03-15,North-East,EMR,449,43
2020-03-15,Centre,MAR,234,10
2020-03-15,Centre,TOS,151,2
2020-03-15,Centre,UMB,36,0
2020-03-15,Centre,LAZ,79,3
2020-03-15,South,ABR,25,1
2020-03-15,South,CAM,61,3
2020-03-15,South,BAS,1,0
2020-03-15,South,PUG,64,8
2020-03-15,South,CAL,8,1
2020-03-15,Islands,SIC,32,0
2020-03-15,Islands,SAR,30,2
2020-03-16,North-West,VDA,48,1
2020-03-16,North-West,LIG,108,17
2020-03-16,North-West,PIE,405,30
2020-03-16,North-West,LOM,1377,202
2020-03-16,North-East,VEN,301,6
2020-03-16,North-East,BZ,37,1
2020-03-16,North-East,FVG,39,8
2020-03-16,North-East,EMR,429,62
2020-03-16,Centre,MAR,109,11
2020-03-16,Centre,TOS,85,6
2020-03-16,Centre,UMB,21,0
2020-03-16,Centre,LAZ,87,3
2020-03-16,South,ABR,39,1
2020-03-16,South,MOL,4,1
2020-03-16,South,CAM,67,0
2020-03-16,South,BAS,1,0
2020-03-16,South,CAL,21,0
2020-03-16,Islands,SIC,25,0
2020-03-16,Islands,SAR,30,0
2020-03-17,North-West,VDA,31,0
2020-03-17,North-West,LIG,111,10
2020-03-17,North-West,PIE,381,22
2020-03-17,North-West,LOM,1571,220
2020-03-17,North-East,VEN,231,11
2020-03-17,North-East,TN,7,1
2020-03-17,North-East,BZ,50,2
2020-03-17,North-East,FVG,8,8
2020-03-17,North-East,EMR,409,47
2020-03-17,Centre,MAR,129,12
2020-03-17,Centre,TOS,187,3
2020-03-17,Centre,UMB,33,0
2020-03-17,Centre,LAZ,84,4
2020-03-17,South,ABR,53,2
2020-03-17,South,MOL,4,0
2020-03-17,South,CAM,60,0
2020-03-17,South,BAS,8,0
2020-03-17,South,PUG,110,2
2020-03-17,South,CAL,25,0
2020-03-17,Islands,SIC,24,1
2020-03-17,Islands,SAR,10,0
2020-03-18,North-West,VDA,29,1
2020-03-18,North-West,LIG,109,13
2020-03-18,North-West,PIE,444,21
2020-03-18,North-West,LOM,1493,319
2020-03-18,North-East,VEN,510,14
2020-03-18,North-East,TN,70,0
2020-03-18,North-East,BZ,85,1
2020-03-18,North-East,FVG,68,1
2020-03-18,North-East,EMR,594,65
2020-03-18,Centre,MAR,197,23
2020-03-18,Centre,TOS,277,5
2020-03-18,Centre,UMB,50,1
2020-03-18,Centre,LAZ,117,9
2020-03-18,South,ABR,34,1
2020-03-18,South,MOL,3,0
2020-03-18,South,BAS,7,0
2020-03-18,South,PUG,43,1
2020-03-18,South,CAL,15,0
2020-03-18,Islands,SIC,45,0
2020-03-18,Islands,SAR,17,0
2020-03-19,North-West,VDA,50,3
2020-03-19,North-West,LIG,172,18
2020-03-19,North-West,PIE,591,21
2020-03-19,North-West,LOM,2171,209
2020-03-19,North-East,VEN,270,21
